agent_id,date,trace_id,hh,mm,ss,y_coord,x_coord
1,17:24:10,0,17,24,10,33.41237445,-111.9590124
1,17:24:32,1,17,24,32,33.412375,-111.959012
1,17:24:52,2,17,24,52,33.41237526,-111.959012
1,17:25:13,3,17,25,13,33.41237525,-111.9590123
1,17:25:35,4,17,25,35,33.4123751,-111.9590127
1,17:25:56,5,17,25,56,33.41237533,-111.9590128
1,17:26:18,6,17,26,18,33.41237522,-111.9590129
1,17:26:38,7,17,26,38,33.41237521,-111.959013
1,17:26:57,8,17,26,57,33.41237497,-111.9590133
1,17:27:17,9,17,27,17,33.4123444,-111.9584448
1,17:27:37,10,17,27,37,33.41175091,-111.9579494
1,17:28:01,11,17,28,1,33.41153796,-111.9593507
1,17:28:20,12,17,28,20,33.41160451,-111.9607472
1,17:28:42,13,17,28,42,33.41454827,-111.9607815
2,17:29:03,14,17,29,3,33.41818706,-111.9608056
2,17:29:23,15,17,29,23,33.42107727,-111.9608339
2,17:29:41,16,17,29,41,33.42159545,-111.9608324
2,17:30:03,17,17,30,3,33.42360092,-111.9608503
2,17:30:24,18,17,30,24,33.4256372,-111.9608466
2,17:30:48,19,17,30,48,33.42863494,-111.9608238
2,17:31:04,20,17,31,4,33.4323316,-111.9610774
2,17:31:25,21,17,31,25,33.43587233,-111.9608579
2,17:31:45,22,17,31,45,33.43697314,-111.9596166
2,17:32:06,23,17,32,6,33.43605303,-111.9547737
2,17:32:27,24,17,32,27,33.43599743,-111.9527462
2,17:32:50,25,17,32,50,33.43587162,-111.9500464
2,17:33:08,26,17,33,8,33.43575236,-111.947207
2,17:33:29,27,17,33,29,33.435497,-111.9431717
2,17:33:51,28,17,33,51,33.43502224,-111.938547
2,17:34:13,29,17,34,13,33.43476438,-111.9363415
2,17:34:32,30,17,34,32,33.4348751,-111.9355208
2,17:34:56,31,17,34,56,33.43493889,-111.9344639
2,17:35:14,32,17,35,14,33.43540728,-111.9315558
2,17:35:35,33,17,35,35,33.43583478,-111.9288533
2,17:35:59,34,17,35,59,33.43591467,-111.9267733
2,17:36:18,35,17,36,18,33.4359174,-111.9250017
2,17:36:36,36,17,36,36,33.43585039,-111.9228261
2,17:37:00,37,17,37,0,33.43578219,-111.9195373
2,17:37:19,38,17,37,19,33.43574146,-111.9149303
2,17:37:37,39,17,37,37,33.4362331,-111.9107995
2,17:38:01,40,17,38,1,33.43644304,-111.9098594
2,17:38:20,41,17,38,20,33.43423236,-111.9093468
2,17:38:39,42,17,38,39,33.43253011,-111.9092853
2,17:39:02,43,17,39,2,33.4325265,-111.9092851
2,17:39:21,44,17,39,21,33.43252612,-111.9092855
2,17:39:41,45,17,39,41,33.43190725,-111.9091228
2,17:40:03,46,17,40,3,33.43229462,-111.9073038
2,17:40:25,47,17,40,25,33.43247265,-111.9066476
2,17:40:44,48,17,40,44,33.43231643,-111.9057021
2,17:41:07,49,17,41,7,33.43173974,-111.9060111
2,17:41:27,50,17,41,27,33.43154707,-111.9069643
2,17:41:49,51,17,41,49,33.43128915,-111.9077017
