agent_id,date,trace_id,hh,mm,ss,y_coord,x_coord
2,17:42:09,52,17,42,9,33.43144587,-111.9079216
2,17:42:27,53,17,42,27,33.43182425,-111.9076283
2,17:42:50,54,17,42,50,33.43182984,-111.9069228
2,17:43:10,55,17,43,10,33.43227049,-111.9066366
2,17:43:29,56,17,43,29,33.43231716,-111.9074533
2,17:43:49,57,17,43,49,33.43220406,-111.9088823
2,17:44:10,58,17,44,10,33.43219477,-111.9089002
2,17:44:34,59,17,44,34,33.43218238,-111.9091809
2,17:44:51,60,17,44,51,33.43531969,-111.9094739
2,17:45:31,61,17,45,31,33.43581968,-111.9097058
2,17:45:57,62,17,45,57,33.43614523,-111.9097315
2,17:46:21,63,17,46,21,33.43646005,-111.9124511
2,17:46:38,64,17,46,38,33.43629661,-111.9171582
2,17:46:58,65,17,46,58,33.43633812,-111.9227397
2,17:47:17,66,17,47,17,33.43624478,-111.9289115
2,17:47:38,67,17,47,38,33.43540251,-111.9345087
2,17:47:57,68,17,47,57,33.43560503,-111.9399185
2,17:48:18,69,17,48,18,33.43629036,-111.9461734
2,17:48:41,70,17,48,41,33.43663211,-111.9522203
2,17:49:02,71,17,49,2,33.43757524,-111.9578947
2,17:49:22,72,17,49,22,33.43841478,-111.9604049
2,17:49:43,73,17,49,43,33.43746406,-111.9609902
2,17:50:04,74,17,50,4,33.4366961,-111.9610382
2,17:50:26,75,17,50,26,33.43308734,-111.9612358
2,17:50:53,76,17,50,53,33.42985854,-111.9610351
2,17:51:05,77,17,51,5,33.42648656,-111.9610275
2,17:51:27,78,17,51,27,33.42317705,-111.9610631
2,17:51:47,79,17,51,47,33.42262069,-111.9610571
2,17:52:08,80,17,52,8,33.4202992,-111.961009
2,17:52:29,81,17,52,29,33.41731786,-111.9608991
2,17:52:50,82,17,52,50,33.41548429,-111.9609064
2,17:53:22,83,17,53,22,33.41298613,-111.960899
2,17:53:32,84,17,53,32,33.41019975,-111.9608436
2,17:53:53,85,17,53,53,33.40697304,-111.960832
2,17:54:11,86,17,54,11,33.40357944,-111.9607883
2,17:54:35,87,17,54,35,33.40064576,-111.9607849
2,17:54:55,88,17,54,55,33.40023051,-111.9607916
2,17:55:13,89,17,55,13,33.40013652,-111.9599402
2,17:55:36,90,17,55,36,33.40045543,-111.9584162
2,17:55:57,91,17,55,57,33.40069508,-111.9584426
2,17:56:17,92,17,56,17,33.40120936,-111.9587215
2,17:56:37,93,17,56,37,33.40120001,-111.9595048
2,17:56:59,94,17,56,59,33.40143799,-111.9600315
2,17:57:20,95,17,57,20,33.40213108,-111.9598764
2,17:57:38,96,17,57,38,33.40213537,-111.9598703
2,17:58:04,97,17,58,4,33.40214201,-111.9598768
2,17:58:23,98,17,58,23,33.40214335,-111.9598757
2,17:58:46,99,17,58,46,33.40214347,-111.9598747
2,17:59:04,100,17,59,4,33.40214365,-111.9598757
2,17:59:21,101,17,59,21,33.40214374,-111.9598767
2,17:59:45,102,17,59,45,33.40214518,-111.9598767
2,18:00:03,103,18,0,3,33.4021463,-111.9598756
2,18:00:26,104,18,0,26,33.40214591,-111.9598751
2,18:00:47,105,18,0,47,33.40214756,-111.9598739
2,18:01:09,106,18,1,9,33.4021487,-111.9598736
2,18:01:26,107,18,1,26,33.4021487,-111.9598735
2,18:01:51,108,18,1,51,33.4021487,-111.9598735
2,18:02:11,109,18,2,11,33.40174946,-111.9604664
2,18:02:31,110,18,2,31,33.40121204,-111.9599322
2,18:02:50,111,18,2,50,33.40113164,-111.9592571
2,18:03:13,112,18,3,13,33.40111405,-111.95857
2,18:03:34,113,18,3,34,33.40061602,-111.9584557
2,18:03:54,114,18,3,54,33.40018697,-111.9587675
2,18:04:14,115,18,4,14,33.40021647,-111.9605934
2,18:04:33,116,18,4,33,33.40207128,-111.9606976
2,18:04:57,117,18,4,57,33.40570118,-111.9607435
2,18:05:18,118,18,5,18,33.40935297,-111.9607555
2,18:05:41,119,18,5,41,33.41301533,-111.9607852
2,18:05:59,120,18,5,59,33.41681935,-111.9608235
2,18:06:21,121,18,6,21,33.42062666,-111.960876
2,18:06:41,122,18,6,41,33.42176988,-111.9609163
2,18:07:02,123,18,7,2,33.42177204,-111.9609173
3,18:07:24,124,18,7,24,33.4217683,-111.9609168
3,18:07:45,125,18,7,45,33.42177176,-111.9609183
3,18:08:07,126,18,8,7,33.42194607,-111.9610612
3,18:08:25,127,18,8,25,33.42201736,-111.964543
3,18:08:45,128,18,8,45,33.42202377,-111.9688172
3,18:09:07,129,18,9,7,33.42201338,-111.973199
3,18:09:27,130,18,9,27,33.422034,-111.9772389
3,18:09:48,131,18,9,48,33.42491128,-111.977791
3,18:10:10,132,18,10,10,33.43003107,-111.9780135
3,18:10:30,133,18,10,30,33.43501697,-111.9785766
3,18:10:51,134,18,10,51,33.4404342,-111.9797126
3,18:11:11,135,18,11,11,33.44552773,-111.9811113
3,18:11:31,136,18,11,31,33.4507306,-111.9820462
3,18:11:50,137,18,11,50,33.45564909,-111.9832527
3,18:12:14,138,18,12,14,33.45930915,-111.9851152
3,18:12:34,139,18,12,34,33.45900544,-111.9909514
3,18:13:00,140,18,13,0,33.45944174,-111.9967209
3,18:13:18,141,18,13,18,33.45950413,-111.9992509
3,18:13:36,142,18,13,36,33.45917496,-112.0022383
3,18:13:58,143,18,13,58,33.45916251,-112.0045655
3,18:14:17,144,18,14,17,33.45921651,-112.0057147
3,18:14:39,145,18,14,39,33.45939273,-112.0073068
3,18:15:02,146,18,15,2,33.45966794,-112.008578
3,18:15:20,147,18,15,20,33.46000718,-112.0098871
3,18:15:43,148,18,15,43,33.46024787,-112.0105523
3,18:16:03,149,18,16,3,33.46048273,-112.0114215
3,18:16:26,150,18,16,26,33.46073977,-112.0122528
3,18:16:46,151,18,16,46,33.46100458,-112.0131296
3,18:17:09,152,18,17,9,33.46120687,-112.0137846
3,18:17:26,153,18,17,26,33.46135719,-112.0143773
3,18:17:54,154,18,17,54,33.46155756,-112.015558
3,18:18:14,155,18,18,14,33.46179262,-112.0167373
3,18:18:32,156,18,18,32,33.46192349,-112.017505
3,18:18:53,157,18,18,53,33.46208873,-112.0187088
3,18:19:11,158,18,19,11,33.46218818,-112.0199651
3,18:19:35,159,18,19,35,33.46222207,-112.0208149
3,18:20:03,160,18,20,3,33.4622338,-112.0217638
3,18:20:23,161,18,20,23,33.46224309,-112.0230479
3,18:20:36,162,18,20,36,33.46223516,-112.0248534
3,18:21:18,163,18,21,18,33.46219346,-112.0262263
3,18:21:19,164,18,21,19,33.46219077,-112.0274903
3,18:21:37,165,18,21,37,33.46219373,-112.0298964
3,18:21:58,166,18,21,58,33.46241883,-112.0328075
3,18:22:19,167,18,22,19,33.46311478,-112.0365264
3,18:22:42,168,18,22,42,33.46689815,-112.0379435
3,18:23:00,169,18,23,0,33.47192366,-112.0384226
3,18:23:22,170,18,23,22,33.47680312,-112.0383832
3,18:23:42,171,18,23,42,33.48147095,-112.0387588
3,18:24:03,172,18,24,3,33.48577022,-112.0410977
3,18:24:23,173,18,24,23,33.49038072,-112.0435447
3,18:24:53,174,18,24,53,33.49550597,-112.0438417
3,18:25:04,175,18,25,4,33.50138475,-112.0436254
