name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,220623199,,,0,,motorway,0,-76.279662,36.774661,,,
,1,220623218,,,0,,motorway,0,-76.279687,36.774958,,,
,2,220623233,,,0,,motorway,0,-76.279694,36.775084,,,
,3,220623240,,,0,,motorway,0,-76.279923,36.775638,,,
,4,220623266,motorway_junction,,0,,motorway,0,-76.280869,36.777629,,,
,5,220626025,,,0,,primary,0,-76.362364,36.771953,,,
,6,220626027,,,0,,motorway,0,-76.362368,36.772061,,,
,7,220626148,,,0,,motorway,0,-76.369046,36.775151,,,
,8,220628361,,,0,,motorway,0,-76.284423,36.786956,,,
,9,220628394,,,0,,motorway,0,-76.2848124,36.7849899,,,
,10,220628402,motorway_junction,,0,,motorway,0,-76.284885,36.78456,,,
,11,220633634,,,0,,motorway,1,-76.266919,36.763435,,,
,12,220633645,,,0,,motorway,0,-76.264253,36.76559,,,
,13,220634066,,,0,,motorway,1,-76.265741,36.763055,,,
,14,220634116,,,0,,motorway,1,-76.267287,36.763086,,,
,15,220634996,motorway_junction,,0,,motorway,0,-76.2536712,36.7738329,,,
,16,220635126,,,0,,primary,0,-76.2541026,36.7731947,,,
,17,220635509,motorway_junction,,0,,motorway,0,-76.280432,36.810638,,,
,18,220635632,,,0,,motorway,0,-76.2798849,36.8149169,,,
,19,220640872,,,0,,motorway,0,-76.2798235,36.803847,,,
,20,220640964,,,0,,motorway,0,-76.2806179,36.8101278,,,
,21,220640996,,,0,,motorway,0,-76.2811802,36.8106658,,,
,22,220641394,,,0,,primary,0,-76.237205,36.795376,,,
,23,220641395,,,0,,primary,0,-76.237305,36.795463,,,
,24,220642389,motorway_junction,,0,,motorway,0,-76.263742,36.766594,,,
,25,220642492,,,0,,motorway,0,-76.270564,36.767101,,,
,26,220642672,motorway_junction,,0,,motorway,0,-76.2241754,36.7891632,,,
,27,220642682,motorway_junction,,0,,motorway,0,-76.229424,36.786774,,,
,28,220642896,,,0,,primary,0,-76.260425,36.782037,,,
,29,220643462,,,0,,primary,0,-76.344602,36.772333,,,
,30,220643508,,,0,,primary,0,-76.3437553,36.7712661,,,
,31,220643563,,,0,,primary,0,-76.3436539,36.7712048,,,
,32,220643589,,,0,,primary,0,-76.341082,36.772409,,,
,33,220645357,,,0,,primary,0,-76.2855015,36.7781327,,,
,34,220645362,,,0,,primary,0,-76.2850239,36.7780276,,,
,35,220648616,,,0,,primary,0,-76.258694,36.783182,,,
,36,220648702,,,0,,primary,0,-76.258614,36.783352,,,
,37,220649563,,,0,,motorway,0,-76.2817333,36.8127031,,,
,38,220651179,,,0,,primary,0,-76.273877,36.775104,,,
,39,220651199,,,0,,motorway,0,-76.2755526,36.7751802,,,
,40,220651223,,,0,,motorway,0,-76.279649,36.77709,,,
,41,220653197,,,0,,motorway,0,-76.285216,36.784235,,,
,42,220653204,,,0,,motorway,0,-76.2854048,36.7846701,,,
,43,220653221,,,0,,motorway,0,-76.286045,36.786128,,,
,44,220653234,,,0,,motorway,0,-76.286086,36.786833,,,
,45,220653266,motorway_junction,,0,,motorway,0,-76.28495,36.788889,,,
,46,220654788,,,0,,primary,0,-76.280897,36.775287,,,
,47,220654841,,,0,,motorway,0,-76.274526,36.771254,,,
,48,220658547,,,0,,motorway,1,-76.268532,36.763161,,,
,49,220658632,,,0,,motorway,1,-76.270506,36.763022,,,
,50,220658853,,,0,,motorway,0,-76.396977,36.786044,,,
,51,220658895,,,0,,motorway,0,-76.3951623,36.7829496,,,
,52,220659132,,,0,,primary,0,-76.3414455,36.7740272,,,
,53,220659184,,,0,,primary,0,-76.340727,36.772525,,,
,54,220659704,,,0,,primary,0,-76.258458,36.782702,,,
,55,220659769,,,0,,primary,0,-76.258657,36.783027,,,
,56,220659775,,,0,,primary,0,-76.258314,36.78322,,,
