name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,407102652,,residential,,,"POLYGON ((-76.2842156 36.9166641, -76.2841564 36.9166635, -76.2841562 36.9166762, -76.2841308 36.9166759, -76.2841311 36.9166602, -76.2841054 36.9166599, -76.28410649999999 36.9165944, -76.2841209 36.9165945, -76.2841213 36.9165698, -76.28417349999999 36.9165704, -76.2841731 36.9165949, -76.2842167 36.9165953, -76.2842156 36.9166641))",POINT (-76.28415889999999 36.9166237),89.9,967.1
,1,402710461,,commercial,,,"POLYGON ((-76.1503336 36.787009, -76.15022930000001 36.7870236, -76.15021299999999 36.7869638, -76.15038 36.7869358, -76.150369 36.7868888, -76.1505356 36.7868575, -76.1505622 36.7869624, -76.150463 36.7869813, -76.1504971 36.7870993, -76.15055409999999 36.7870882, -76.1505707 36.7871556, -76.1503786 36.7871905, -76.1503336 36.787009))",POINT (-76.1504224 36.7870198),578.9,6231.5
,2,402740874,,house,,,"POLYGON ((-76.14359349999999 36.8093863, -76.1435146 36.8092626, -76.1436049 36.8092254, -76.14361030000001 36.8092338, -76.1436652 36.8092112, -76.1436588 36.8092011, -76.1437292 36.8091721, -76.1437851 36.8092596, -76.1437557 36.8092717, -76.1437607 36.8092795, -76.1437253 36.8092941, -76.1437207 36.809287, -76.1436478 36.8093171, -76.1436714 36.8093542, -76.14359349999999 36.8093863))",POINT (-76.14364759999999 36.8092744),268.6,2891.5
,3,383919164,,house,,,"POLYGON ((-76.4104198 36.8870813, -76.4105127 36.8871744, -76.41045080000001 36.887214, -76.41043860000001 36.8872018, -76.4103762 36.8872417, -76.4103106 36.8871759, -76.4103374 36.8871588, -76.4103228 36.8871442, -76.41034399999999 36.8871306, -76.4103279 36.8871144, -76.41035960000001 36.8870941, -76.4103753 36.8871098, -76.4104198 36.8870813))",POINT (-76.4104044 36.8871612),176.3,1898.1
,4,312583564,,house,,,"POLYGON ((-76.26574429999999 36.785771, -76.2657782 36.7857159, -76.2657841 36.7857183, -76.26582999999999 36.7856437, -76.2659835 36.7857048, -76.2659349 36.7857839, -76.2658757 36.7857603, -76.26584459999999 36.7858109, -76.26574429999999 36.785771))",POINT (-76.265861 36.7857291),212.7,2289.5
,5,402650865,,house,,,"POLYGON ((-76.1800504 36.7751253, -76.1800775 36.7750612, -76.18015920000001 36.7750836, -76.1801662 36.7750672, -76.1802788 36.7750981, -76.1802285 36.7752168, -76.18003419999999 36.7751635, -76.1800504 36.7751253))",POINT (-76.1801586 36.7751349),240.3,2586.5
,6,406974008,,residential,,,"POLYGON ((-76.18760930000001 36.8595064, -76.1876043 36.8595855, -76.18753580000001 36.8595827, -76.187538 36.8595492, -76.18743139999999 36.8595449, -76.1874323 36.8595306, -76.1873535 36.8595274, -76.187359 36.8594412, -76.18741199999999 36.8594434, -76.1874127 36.8594329, -76.18744959999999 36.8594344, -76.187449 36.8594446, -76.1875015 36.8594467, -76.18749800000001 36.8595019, -76.18760930000001 36.8595064))",POINT (-76.1874751 36.8595069),208.4,2243.1
,7,312668492,,house,,,"POLYGON ((-76.21579629999999 36.7776479, -76.21581810000001 36.7775907, -76.21579819999999 36.7775858, -76.21581190000001 36.7775497, -76.2157828 36.7775426, -76.2157942 36.7775128, -76.2157771 36.7775086, -76.2157978 36.7774542, -76.21599209999999 36.7775021, -76.2159674 36.7775671, -76.2159693 36.7775676, -76.2159602 36.7775915, -76.2159363 36.7775856, -76.2159243 36.7776171, -76.2158913 36.7776089, -76.2158696 36.7776659, -76.21579629999999 36.7776479))",POINT (-76.2158735 36.7775504),267.3,2877.0
,8,407231354,,residential,,,"POLYGON ((-76.2448861 36.8525979, -76.244831 36.8523846, -76.2449605 36.852363, -76.2450156 36.8525763, -76.2448861 36.8525979))",POINT (-76.2449233 36.8524805),284.5,3061.9
,9,312459577,,house,,,"POLYGON ((-76.2615393 36.8192416, -76.26153720000001 36.819218, -76.2615029 36.81922, -76.2615038 36.8192301, -76.2613812 36.8192372, -76.2613806 36.8192298, -76.2613636 36.8192308, -76.2613594 36.8191832, -76.2615347 36.819173, -76.2615337 36.8191615, -76.2616276 36.8191561, -76.2616307 36.8191913, -76.261634 36.8191911, -76.2616381 36.8192359, -76.2615393 36.8192416))",POINT (-76.26151040000001 36.8192021),167.4,1801.4
,10,402740293,,house,,,"POLYGON ((-76.1436104 36.8102906, -76.1435559 36.8102476, -76.1435329 36.8102665, -76.1434974 36.8102386, -76.1435561 36.8101905, -76.1434696 36.8101212, -76.1435542 36.8100517, -76.1436087 36.8100946, -76.1435977 36.8101037, -76.1436461 36.8101418, -76.1436571 36.8101327, -76.14373139999999 36.8101912, -76.1436104 36.8102906))",POINT (-76.1435934 36.8101759),295.4,3180.1
,11,312294925,,residential,,,"POLYGON ((-76.33898859999999 36.7739176, -76.33895219999999 36.7739107, -76.3389512 36.7739142, -76.3388964 36.7739038, -76.3389251 36.7738056, -76.3389832 36.7738166, -76.3389822 36.7738198, -76.3390153 36.7738261, -76.33898859999999 36.7739176))",POINT (-76.33895560000001 36.7738631),90.9,978.1
,12,402667709,,house,,,"POLYGON ((-76.1793388 36.835482, -76.1794014 36.8354566, -76.179408 36.8354671, -76.17944439999999 36.8354523, -76.1794038 36.8353877, -76.1793691 36.8354018, -76.1793407 36.8353564, -76.1793751 36.8353425, -76.1793541 36.835309, -76.1794434 36.8352728, -76.1794616 36.8353018, -76.1794775 36.8352953, -76.1795183 36.8353604, -76.1795043 36.835366, -76.1795375 36.835419, -76.17950620000001 36.8354317, -76.17952409999999 36.8354603, -76.1793655 36.8355246, -76.1793388 36.835482))",POINT (-76.1794372 36.8353928),265.0,2852.3
,13,312298462,,house,,,"POLYGON ((-76.2782601 36.7927753, -76.2782595 36.7927671, -76.27828409999999 36.7927658, -76.27828479999999 36.7927743, -76.2783075 36.792773, -76.2783159 36.7928733, -76.27819100000001 36.79288, -76.27818259999999 36.7927795, -76.2782601 36.7927753))",POINT (-76.2782496 36.7928255),126.3,1359.4
,14,700669914,,house,,,"POLYGON ((-76.332348 36.8081968, -76.3323595 36.8083448, -76.3322613 36.8083496, -76.3322575 36.8083022, -76.3322452 36.8082561, -76.3322501 36.8082018, -76.332348 36.8081968))",POINT (-76.3323031 36.8082727),149.1,1604.4
,15,312668353,,house,,,"POLYGON ((-76.217817 36.7754665, -76.21773690000001 36.7753403, -76.2178313 36.7753015, -76.217856 36.7753404, -76.2179064 36.7753197, -76.2179618 36.7754069, -76.217817 36.7754665))",POINT (-76.21784700000001 36.7753812),203.6,2192.0
,16,312299477,,house,,,"POLYGON ((-76.27111619999999 36.8008439, -76.2711125 36.8008245, -76.27104869999999 36.8008323, -76.2710357 36.8007633, -76.2712014 36.8007431, -76.27122439999999 36.8008654, -76.2711039 36.8008801, -76.2710975 36.8008462, -76.27111619999999 36.8008439))",POINT (-76.27113799999999 36.8008082),176.8,1902.6
,17,383919679,,house,,,"POLYGON ((-76.4125628 36.8780365, -76.4125712 36.8780529, -76.41261799999999 36.8780377, -76.4126686 36.8781371, -76.4125815 36.8781655, -76.4125708 36.8781444, -76.41255289999999 36.8781503, -76.41253159999999 36.8781082, -76.41251029999999 36.8781152, -76.41248349999999 36.8780624, -76.4125628 36.8780365))",POINT (-76.41257969999999 36.8780971),140.0,1507.2
