name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,173652242,,,,,residential,1,-109.737644,34.355858,,,
,1,173656109,,,,,residential,0,-109.7869698,34.3412929,,,
,2,173656111,,,,,residential,0,-109.787003,34.3431201,,,
,3,173656276,,,,,residential,0,-109.7884891,34.3412585,,,
,4,173656278,,,,,residential,1,-109.786218,34.3412815,,,
,5,173656280,,,,,tertiary,0,-109.7782179,34.3413417,,,
,6,173657783,,,,,residential,0,-109.8439838,34.345125,,,
,7,173683123,,,,,residential,1,-109.788403,34.301335,,,
,8,173683125,,,,,primary,0,-109.7883991,34.3014166,,,
,9,173683868,,,,,residential,0,-109.7860822,34.2561989,,,
,10,173683870,,,,,tertiary,0,-109.7857884,34.2578596,,,
,11,173694640,,,,,primary,0,-109.7277667,34.2700626,,,
,12,173694676,,,,,residential,1,-109.71528,34.278451,,,
,13,173712323,,,,,primary,0,-109.7499777,34.272105,,,
,14,173712329,,,,,residential,1,-109.7494802,34.2747706,,,
,15,173717788,,,,,residential,0,-109.737858,34.251763,,,
,16,173717793,,,,,residential,0,-109.736809,34.250847,,,
,17,173717802,,,,,residential,0,-109.735679,34.25181,,,
,18,173719128,,,,,primary,0,-109.8049838,34.2925765,,,
,19,173741847,,,,,residential,0,-109.7548099,34.3249931,,,
,20,173741853,,,,,residential,0,-109.7517687,34.3273542,,,
,21,173741878,,,,,residential,0,-109.7545982,34.324797,,,
,22,173741938,,,,,residential,0,-109.8099206,34.272382,,,
,23,173741945,,,,,residential,1,-109.8154122,34.2731541,,,
,24,173742026,,,,,primary,0,-109.82267,34.2855395,,,
,25,173751262,,,,,residential,1,-109.788449,34.33761,,,
,26,173751265,,,,,residential,0,-109.7884199,34.3394442,,,
,27,173751547,,,,,residential,0,-109.795765,34.3376318,,,
,28,173751552,,,,,residential,1,-109.7872068,34.3373469,,,
,29,173751554,,,,,residential,0,-109.7870902,34.3369759,,,
,30,173751559,,,,,residential,0,-109.7869863,34.3351558,,,
,31,173751564,,,,,residential,0,-109.7870656,34.3304289,,,
,32,173761622,,,,,tertiary,0,-109.7438702,34.340007,,,
,33,173774329,,,,,residential,1,-109.791536,34.264126,,,
,34,173792937,,,,,residential,1,-109.77811,34.223086,,,
,35,173792939,,,,,residential,0,-109.768162,34.222761,,,
,36,173824166,,,,,primary,0,-109.7683786,34.2741662,,,
,37,173824172,,,,,residential,1,-109.7686529,34.27243,,,
,38,173824183,,,,,residential,0,-109.7616509,34.2724052,,,
,39,173824186,,,,,residential,0,-109.7616555,34.2731058,,,
,40,173834105,,,,,tertiary,0,-109.7606541,34.3425137,,,
,41,173841197,,,,,residential,0,-109.7383863,34.3225503,,,
,42,173841206,,,,,residential,0,-109.7351333,34.3226415,,,
,43,173841216,,,,,residential,0,-109.7277581,34.3228172,,,
,44,173841230,,,,,residential,0,-109.7278408,34.3300331,,,
,45,173853319,,,,,tertiary,0,-109.8209453,34.2411893,,,
,46,173874892,,,,,primary,0,-109.8137542,34.2899737,,,
,47,173874899,,,,,residential,0,-109.8137952,34.2831541,,,
,48,173874945,,,,,residential,1,-109.74343,34.255487,,,
,49,173874956,,,,,residential,0,-109.7413044,34.2571606,,,
,50,173874987,,,,,residential,1,-109.803578,34.288736,,,
,51,173875072,,,,,tertiary,0,-109.8380552,34.2273166,,,
,52,173877778,,,,,residential,0,-109.8209747,34.235667,,,
,53,173890580,,,,,residential,0,-109.760843,34.2865558,,,
,54,173890584,,,,,primary,0,-109.7540912,34.2725728,,,
,55,173890590,,,,,residential,1,-109.8477484,34.3123935,,,
,56,173897096,,,,,tertiary,0,-109.7781978,34.3351807,,,
,57,173897476,,,,,residential,0,-109.7935484,34.3303639,,,
,58,173897478,,,,,residential,0,-109.7935738,34.3324091,,,
,59,173905679,,,,,residential,0,-109.758531,34.294321,,,
,60,173905681,,,,,residential,1,-109.757478,34.29443,,,
,61,173914048,,,,,residential,0,-109.804826,34.295928,,,
,62,173914053,,,,,residential,0,-109.804742,34.299547,,,
,63,173920332,,,,,tertiary,0,-109.7125578,34.2572966,,,
