name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,371591178,,yes,,,"POLYGON ((-109.8022314 34.3349266, -109.8021324 34.3349399, -109.8021209 34.3348817, -109.80222 34.3348683, -109.8022314 34.3349266))",POINT (-109.8021762 34.3349041),60.1,647.3
,1,387351297,,yes,,,"POLYGON ((-109.7452445 34.2358071, -109.7451114 34.235863, -109.7450394 34.2357458, -109.7451726 34.2356899, -109.7452445 34.2358071))",POINT (-109.745142 34.2357764),200.8,2161.6
,2,422809686,,yes,,,"POLYGON ((-109.7646372 34.3406932, -109.7643758 34.3407204, -109.7643608 34.3406224, -109.7646222 34.3405952, -109.7646372 34.3406932))",POINT (-109.764499 34.3406578),264.7,2848.9
,3,371835931,,yes,,,"POLYGON ((-109.770531 34.3492819, -109.7705486 34.3493637, -109.7703494 34.3493929, -109.7703317 34.3493112, -109.770531 34.3492819))",POINT (-109.7704402 34.3493374),170.8,1838.6
,4,385167855,,yes,,,"POLYGON ((-109.7656104 34.2839921, -109.7654848 34.2839806, -109.7655191 34.2837252, -109.7656448 34.2837367, -109.7656104 34.2839921))",POINT (-109.7655648 34.2838586),331.4,3566.9
,5,385167862,,yes,,,"POLYGON ((-109.7706372 34.2769242, -109.7704955 34.2768439, -109.770558 34.2767687, -109.7706996 34.2768489, -109.7706372 34.2769242))",POINT (-109.7705976 34.2768464),159.5,1716.7
,6,371835919,,yes,,,"POLYGON ((-109.7699006 34.3534262, -109.769796 34.3534342, -109.7697844 34.3533306, -109.769889 34.3533227, -109.7699006 34.3534262))",POINT (-109.7698425 34.3533784),111.9,1204.7
,7,385167890,,yes,,,"POLYGON ((-109.771113 34.2851075, -109.7711016 34.2851399, -109.770951 34.2851041, -109.7709624 34.2850716, -109.771113 34.2851075))",POINT (-109.771032 34.2851058),54.4,586.0
Stanford General Store,8,375311902,,yes,,,"POLYGON ((-109.8288027 34.2882797, -109.8284767 34.2883516, -109.8284311 34.2882101, -109.8287571 34.2881383, -109.8288027 34.2882797))",POINT (-109.8286169 34.2882449),505.0,5435.6
,9,376264582,,yes,,,"POLYGON ((-109.8639756 34.3001127, -109.863922 34.3001417, -109.8638787 34.300087, -109.8639322 34.300058, -109.8639756 34.3001127))",POINT (-109.8639271 34.3000999),42.6,459.0
,10,387351299,,yes,,,"POLYGON ((-109.7429773 34.2330163, -109.7427855 34.2331365, -109.7426285 34.2329653, -109.7426926 34.2329251, -109.7427868 34.2330278, -109.7429145 34.2329478, -109.7429773 34.2330163))",POINT (-109.7428025 34.2330269),316.5,3406.9
,11,376067628,,yes,,,"POLYGON ((-109.8288773 34.2908788, -109.8289461 34.2909697, -109.8288016 34.2910443, -109.8287328 34.2909534, -109.8288773 34.2908788))",POINT (-109.8288394 34.2909615),186.6,2008.8
,12,385287240,,yes,,,"POLYGON ((-109.8236203 34.2347572, -109.8236041 34.2346466, -109.8237316 34.2346339, -109.8237478 34.2347444, -109.8236203 34.2347572))",POINT (-109.8236759 34.2346955),144.8,1559.0
