name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,15,675945768,,yes,,,"POLYGON ((-112.0766692 33.0307154, -112.076666 33.0307868, -112.0765225 33.0307822, -112.0765258 33.0307108, -112.0766692 33.0307154))",POINT (-112.0765959 33.0307488),106.0,1141.1
,16,921807064,,yes,,,"POLYGON ((-111.9893446 33.2699891, -111.9892954 33.2700407, -111.9893927 33.2701028, -111.9892149 33.2702576, -111.9891312 33.2701798, -111.9890674 33.2702174, -111.9892358 33.2703932, -111.989445 33.2703486, -111.9896228 33.2702602, -111.9895674 33.2701728, -111.989491 33.2701151, -111.989513 33.2701002, -111.9893446 33.2699891))",POINT (-111.9893692 33.2702284),1013.6,10910.8
,17,200742441,,yes,,,"POLYGON ((-112.0473071 33.0689322, -112.0477978 33.0680005, -112.0475683 33.0679156, -112.0470776 33.0688473, -112.0473071 33.0689322))",POINT (-112.0474377 33.0684239),2641.1,28429.0
Church of Jesus Christ of Latter-Day Saints,18,230753442,,church,,,"POLYGON ((-111.9679202 33.0445023, -111.9675741 33.0445029, -111.967574 33.0444425, -111.967553 33.0444426, -111.9675528 33.0443506, -111.9675738 33.0443506, -111.9675733 33.0441502, -111.9675266 33.0441502, -111.9675263 33.0440184, -111.967573 33.0440184, -111.9675728 33.0439126, -111.9679188 33.043912, -111.9679191 33.0440162, -111.9679769 33.0440161, -111.9679772 33.0441523, -111.9679194 33.0441524, -111.9679198 33.0443606, -111.9679373 33.0443606, -111.9679375 33.044448, -111.96792 33.0444481, -111.9679202 33.0445023))",POINT (-111.9677478 33.0442027),2293.3,24684.9
,19,231520843,,yes,,,"POLYGON ((-112.0249626 32.9974767, -112.024673 32.9974767, -112.024673 32.9972642, -112.0249626 32.9972642, -112.0249626 32.9974767))",POINT (-112.0248178 32.9973704),638.2,6869.6
,20,232596361,,yes,,,"POLYGON ((-111.9466347 33.0766333, -111.9465358 33.0766324, -111.9465537 33.0752455, -111.9466526 33.0752464, -111.9466347 33.0766333))",POINT (-111.9465942 33.0759394),1422.8,15314.9
,21,497740208,,yes,,,"POLYGON ((-111.9843151 33.2703939, -111.9845036 33.2702805, -111.9844426 33.2702098, -111.9842542 33.2703232, -111.9843151 33.2703939))",POINT (-111.9843789 33.2703018),208.1,2239.8
,22,231522228,,yes,,,"POLYGON ((-111.9807921 33.0010881, -111.98067 33.0010876, -111.9806717 33.0008071, -111.9807938 33.0008076, -111.9807921 33.0010881))",POINT (-111.9807319 33.0009476),354.5,3816.2
,23,232596360,,yes,,,"POLYGON ((-111.9490463 33.0750809, -111.9489517 33.0750801, -111.9489704 33.0734797, -111.9490651 33.0734805, -111.9490463 33.0750809))",POINT (-111.9490084 33.0742802),1579.0,16996.4
,24,230336658,,yes,,,"POLYGON ((-112.0113749 33.0876996, -112.0113344 33.0876997, -112.0113343 33.0876287, -112.0113748 33.0876287, -112.0113749 33.0876996))",POINT (-112.0113546 33.0876642),29.6,319.0
