poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
1,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
2,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,convent,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,music_venue,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
5,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
6,clinic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
8,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
10,detached,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,courthouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,conference_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
15,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
16,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
17,carport,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,prison,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
22,kindergarten,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,administrative/auxiliary,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,service,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,0
26,terrace,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
29,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
30,college,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,church,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
33,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
34,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
35,studio,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
37,static_caravan,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
39,hospital,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
40,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
41,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
43,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
44,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
45,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
46,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
47,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
48,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
49,grave_yard,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
50,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
51,nightclub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
52,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
