name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,207,100228610.0,,parking,,,"POLYGON ((-112.0782944 33.4498446, -112.0782984 33.4502448, -112.0783417 33.4502445, -112.0783943 33.4502441, -112.0783903 33.4498439, -112.0782944 33.4498446))",POINT (-112.0783444 33.4500444),396.9,4272.7,18
,208,109740058.0,,parking,,,"POLYGON ((-112.0727518 33.4543911, -112.073192 33.4543848, -112.0737109 33.4543863, -112.0737099 33.4540386, -112.072742 33.4540477, -112.0727518 33.4543911))",POINT (-112.0732297 33.4542146),3409.2,36696.8,13
Holiday Inn Express Phoenix Downtown,209,109740062.0,,yes,,,"POLYGON ((-112.0664678 33.454852, -112.0664674 33.4549594, -112.0666226 33.4549597, -112.0666227 33.4549301, -112.0667489 33.4549303, -112.0667486 33.4550355, -112.0667237 33.4550355, -112.0667235 33.4550999, -112.0667476 33.4550999, -112.0667475 33.4551717, -112.0667261 33.4551717, -112.066726 33.4552376, -112.0667448 33.4552376, -112.0667448 33.4553416, -112.0667622 33.4553416, -112.0667622 33.4553707, -112.0668562 33.4553706, -112.0668562 33.4553841, -112.0669456 33.4553839, -112.0669453 33.4552416, -112.066968 33.4552416, -112.0669678 33.4551748, -112.0669487 33.4551749, -112.0669485 33.4551077, -112.06697 33.4551077, -112.0669697 33.455032, -112.0669496 33.4550321, -112.0669493 33.4549419, -112.0669719 33.4549418, -112.0669716 33.454815, -112.0669603 33.454815, -112.0669602 33.4547483, -112.0669393 33.4547483, -112.0669392 33.4547262, -112.0667783 33.4547263, -112.0667783 33.4547498, -112.0667396 33.4547498, -112.0667396 33.4548188, -112.0667137 33.4548188, -112.0667137 33.454845, -112.0667033 33.454845, -112.0667032 33.4548783, -112.0666353 33.4548782, -112.0666353 33.4548524, -112.0664678 33.454852))",POINT (-112.0668116 33.4550262),1700.6,18305.5,13
,210,109740067.0,,parking,,,"POLYGON ((-112.0714152 33.4541964, -112.0714152 33.4543747, -112.0717576 33.4543748, -112.0718553 33.4543748, -112.0719234 33.4543748, -112.0719234 33.4541965, -112.0714152 33.4541964))",POINT (-112.0716693 33.4542856),934.2,10055.4,13
,211,109740068.0,,parking,,,"POLYGON ((-112.0678485 33.4538593, -112.0678538 33.4539804, -112.0679011 33.4541322, -112.0679237 33.454192, -112.0679498 33.4542419, -112.0679916 33.4542743, -112.0680268 33.4542895, -112.0680739 33.4543043, -112.0681646 33.454303, -112.0682811 33.4543118, -112.0684412 33.4543085, -112.0684484 33.4543284, -112.0685486 33.4543273, -112.0685516 33.4543132, -112.0685827 33.454314, -112.0685829 33.4543266, -112.06867 33.454327, -112.0686677 33.4538584, -112.0678485 33.4538593))",POINT (-112.0682861 33.454078),3593.1,38675.3,13
,212,109740070.0,,yes,,,"POLYGON ((-112.0670192 33.4550538, -112.0670196 33.4550997, -112.0670792 33.4550994, -112.0670789 33.4550535, -112.0670192 33.4550538))",POINT (-112.0670492 33.4550766),28.3,304.7,13
,213,109740071.0,,parking,,,"POLYGON ((-112.0726764 33.4546109, -112.0726852 33.4554572, -112.0731811 33.455456, -112.0736658 33.4554547, -112.0736648 33.4546334, -112.0731988 33.4546209, -112.0726764 33.4546109))",POINT (-112.0731706 33.455038),8466.6,91133.6,13
,214,109741766.0,,parking,,,"POLYGON ((-112.073051 33.4488975, -112.0729607 33.4488962, -112.0729578 33.4489718, -112.0729584 33.4490154, -112.0730404 33.4490216, -112.073043 33.4492095, -112.0736962 33.4492066, -112.0736923 33.4489535, -112.0736917 33.4488938, -112.0735834 33.4488979, -112.0735834 33.4489409, -112.0733104 33.4489424, -112.0733097 33.4488974, -112.073051 33.4488975))",POINT (-112.0733443 33.449056),2069.8,22278.9,18
,215,109741767.0,,parking,,,"POLYGON ((-112.0671116 33.4545852, -112.0671054 33.4547064, -112.0671156 33.454899, -112.06717 33.4549126, -112.0671718 33.4550443, -112.0671081 33.4550449, -112.0671095 33.455143, -112.0671129 33.4553988, -112.0672181 33.4553978, -112.0673812 33.4553963, -112.0673703 33.4545828, -112.0671116 33.4545852))",POINT (-112.0672472 33.4549935),2135.9,22991.1,13
Rosson House,216,109818819.0,,yes,,,"POLYGON ((-112.065802 33.4501504, -112.0658032 33.4501881, -112.0658047 33.4502382, -112.0658322 33.4502359, -112.0658322 33.4502454, -112.0658664 33.4502449, -112.0658677 33.4502639, -112.0659549 33.4502611, -112.0659603 33.4502712, -112.0660032 33.4502701, -112.066032 33.4502477, -112.066032 33.4502298, -112.0660387 33.4502303, -112.0660378 33.4502077, -112.0660347 33.4501285, -112.0659194 33.4501274, -112.0659194 33.4501464, -112.0659006 33.4501459, -112.0659019 33.4501369, -112.0658691 33.4501363, -112.0658691 33.4501487, -112.065802 33.4501504))",POINT (-112.0659285 33.4501972),290.4,3126.4,18
Arizona State University Mercado,217,109818829.0,,university,,,"POLYGON ((-112.0651871 33.4504347, -112.0651605 33.451369, -112.0674563 33.4513612, -112.0674566 33.4504257, -112.0673844 33.450421, -112.0666229 33.4504432, -112.0658197 33.4504339, -112.0651871 33.4504347))",POINT (-112.0663149 33.4509008),21878.2,235494.3,18
,218,109818835.0,,yes,,,"POLYGON ((-112.0668141 33.4484344, -112.0668147 33.4483703, -112.0668132 33.4481681, -112.0667406 33.4481709, -112.0667139 33.4480773, -112.0667162 33.4480085, -112.0666527 33.4480302, -112.0666112 33.4480434, -112.066727 33.4483397, -112.0667257 33.4483719, -112.0667238 33.4484109, -112.0667232 33.4484326, -112.0668141 33.4484344))",POINT (-112.0667333 33.4482279),429.6,4624.0,23
,219,109818836.0,,yes,,,"POLYGON ((-112.0655644 33.4501071, -112.0655652 33.4502847, -112.0656342 33.4502845, -112.0656338 33.4501937, -112.0656334 33.4501069, -112.0655644 33.4501071))",POINT (-112.0655993 33.4501958),126.1,1357.1,18
parking for Pizzeria Bianco only,220,109818842.0,,parking,,,"POLYGON ((-112.0653722 33.4489877, -112.0653561 33.4491953, -112.0653923 33.4491992, -112.065393 33.4492378, -112.0654111 33.4492412, -112.0654097 33.4493184, -112.0654889 33.4493212, -112.0654901 33.4492985, -112.0654929 33.4492434, -112.0655117 33.4492322, -112.0655827 33.4492283, -112.0655799 33.449061, -112.0655787 33.4489888, -112.0653722 33.4489877))",POINT (-112.065471 33.4491299),608.6,6551.0,18
Arizona State University Downtown,221,109818845.0,,college,,,"POLYGON ((-112.069999 33.4534961, -112.0700022 33.4544818, -112.0701379 33.4544851, -112.0737431 33.454485, -112.0737329 33.4535019, -112.0737217 33.4524533, -112.0726222 33.4524533, -112.0726115 33.4535275, -112.069999 33.4534961))",POINT (-112.0721839 33.4537508),49587.7,533756.8,18
Orpheum Theatre,222,109819768.0,,theatre,,,"POLYGON ((-112.0770692 33.4492026, -112.0768836 33.4492033, -112.0766445 33.4492042, -112.0766445 33.4492236, -112.0765941 33.4492298, -112.0765766 33.4492158, -112.0765602 33.4492027, -112.076559 33.4491528, -112.0765895 33.4491492, -112.076589 33.4490613, -112.0765739 33.4490565, -112.0765724 33.4488669, -112.0765863 33.4488626, -112.0765852 33.4488215, -112.0766588 33.4488215, -112.0766717 33.4488229, -112.0769757 33.4488194, -112.0771401 33.4488186, -112.0771406 33.4488852, -112.0771418 33.4489667, -112.077143 33.4490476, -112.0771434 33.4491053, -112.0771461 33.4492016, -112.0770692 33.4492026))",POINT (-112.0768579 33.449014),2249.5,24213.6,23
,223,109819772.0,,yes,,,"POLYGON ((-112.0762023 33.4488213, -112.076198 33.4488409, -112.0762432 33.4488479, -112.0762476 33.4488283, -112.0762285 33.4488253, -112.0762023 33.4488213))",POINT (-112.0762228 33.4488346),9.5,102.4,23
,224,109819773.0,,yes,,,"POLYGON ((-112.0729082 33.4504403, -112.0729085 33.4504609, -112.0729472 33.4504606, -112.072947 33.4504399, -112.0729082 33.4504403))",POINT (-112.0729277 33.4504504),8.3,89.1,18
Phoenix City Hall,225,109819775.0,,yes,,,"POLYGON ((-112.0771461 33.4492016, -112.0771434 33.4491053, -112.077143 33.4490476, -112.0771418 33.4489667, -112.0771406 33.4488852, -112.0771401 33.4488186, -112.0769757 33.4488194, -112.0766717 33.4488229, -112.0766714 33.4487924, -112.0766527 33.4487925, -112.0766524 33.4487628, -112.0766517 33.4487312, -112.0766697 33.4487309, -112.0766696 33.4487256, -112.0766733 33.4487175, -112.0766315 33.4486979, -112.0766876 33.4486231, -112.0767602 33.4485582, -112.0768427 33.4484987, -112.0769303 33.4484553, -112.0770283 33.4484174, -112.0771269 33.4483902, -112.0772392 33.448379, -112.0772429 33.4484132, -112.0773445 33.4484108, -112.0774385 33.4484108, -112.0774385 33.4484636, -112.077542 33.4484632, -112.0775429 33.4487716, -112.0775442 33.4488834, -112.0775448 33.4489666, -112.0775457 33.4490447, -112.077548 33.4491977, -112.0774188 33.4491976, -112.0773308 33.4491984, -112.0772323 33.4491997, -112.0771461 33.4492016))",POINT (-112.0772 33.4487528),4896.0,52699.9,23
Phoenix Employee Memorial,226,109819778.0,,yes,,,"POLYGON ((-112.0764257 33.4483976, -112.0764047 33.448413, -112.0763967 33.4484178, -112.0763803 33.4484413, -112.0763744 33.4484655, -112.0763803 33.4484934, -112.0764061 33.4485227, -112.0764361 33.4485357, -112.0764717 33.4485377, -112.076502 33.448529, -112.0765165 33.4485179, -112.0765324 33.448493, -112.0765373 33.4484799, -112.0765038 33.4484631, -112.0765018 33.4484476, -112.0764898 33.4484276, -112.076466 33.448419, -112.0764445 33.4484237, -112.0764257 33.4483976))",POINT (-112.0764488 33.4484755),152.1,1637.3,23
,227,109821494.0,,parking,,,"POLYGON ((-112.0666442 33.4545861, -112.0663315 33.4545906, -112.0663628 33.4554174, -112.0666564 33.455413, -112.0666357 33.4546947, -112.0666442 33.4545861))",POINT (-112.0664961 33.4549991),2540.3,27343.6,13
,228,109821499.0,,parking,,,"POLYGON ((-112.0671054 33.4547064, -112.0666357 33.4546947, -112.0666442 33.4545861, -112.0671116 33.4545852, -112.0671081 33.4546638, -112.0671054 33.4547064))",POINT (-112.0668786 33.4546432),554.1,5964.0,13
Angel's Trumpet Ale House,229,109825414.0,,restaurant,,,"POLYGON ((-112.0714094 33.4569876, -112.0714088 33.4571342, -112.0716797 33.4571349, -112.0716802 33.4569883, -112.0714094 33.4569876))",POINT (-112.0715445 33.4570613),409.5,4407.9,13
,230,109825415.0,,yes,,,"POLYGON ((-112.072746 33.4569067, -112.0727451 33.4571103, -112.0728293 33.4571105, -112.0728296 33.457028, -112.0729157 33.4570282, -112.0729162 33.4569071, -112.072746 33.4569067))",POINT (-112.0728199 33.4569931),284.6,3063.6,13
,231,109825420.0,,yes,,,"POLYGON ((-112.0767471 33.4534439, -112.0767488 33.4534882, -112.0767594 33.45349, -112.0767589 33.4535122, -112.0767692 33.4535241, -112.0767784 33.4535253, -112.0767883 33.4535221, -112.0767897 33.4535263, -112.0768232 33.4535249, -112.0768232 33.453521, -112.0769709 33.4535196, -112.0769707 33.4534185, -112.0769113 33.4534181, -112.0769104 33.4534482, -112.0768629 33.453449, -112.0768621 33.4534278, -112.0768007 33.4534269, -112.0768006 33.4534444, -112.0767471 33.4534439))",POINT (-112.0768652 33.4534761),198.3,2134.5,18
skyline Lofts,232,109825422.0,,apartments,,,"POLYGON ((-112.068556 33.4547906, -112.0691045 33.4547963, -112.0691032 33.4547526, -112.069012 33.4547481, -112.069012 33.4546317, -112.0684434 33.4546205, -112.0683817 33.4547212, -112.0684353 33.4547794, -112.068556 33.4547906))",POINT (-112.0687257 33.4547114),1064.7,11460.2,13
,233,109825423.0,,yes,,,"POLYGON ((-112.0766196 33.4531476, -112.0766212 33.4532553, -112.0766751 33.4532547, -112.0766747 33.4532289, -112.0766861 33.4532288, -112.0766857 33.4532055, -112.0766833 33.4532055, -112.0766829 33.4531782, -112.0766853 33.4531782, -112.0766849 33.4531469, -112.0766196 33.4531476))",POINT (-112.0766515 33.4531994),68.2,734.5,18
,234,109825425.0,,yes,,,"POLYGON ((-112.0715067 33.458431, -112.071622 33.4584305, -112.0716213 33.4582974, -112.0715059 33.4582979, -112.0715067 33.458431))",POINT (-112.071564 33.4583642),158.6,1706.8,13
skyline Lofts,235,109825427.0,,apartments,,,"POLYGON ((-112.0687492 33.4550412, -112.068556 33.4547906, -112.0684568 33.4548354, -112.0684246 33.4547951, -112.0683549 33.4548443, -112.0686043 33.455133, -112.068663 33.4550958, -112.0686934 33.4550766, -112.0687492 33.4550412))",POINT (-112.0685596 33.4549502),652.1,7019.0,13
The Stewart,236,109825430.0,,apartments,,,"POLYGON ((-112.0744714 33.4574659, -112.0744809 33.4567765, -112.0741108 33.4567698, -112.0740679 33.4567654, -112.074033 33.4567788, -112.0740115 33.4568034, -112.0740089 33.4568347, -112.0740249 33.4568661, -112.0740571 33.4568817, -112.0740357 33.4569421, -112.0740437 33.4569712, -112.073996 33.4571277, -112.0739966 33.457465, -112.0742245 33.4574673, -112.0744714 33.4574659))",POINT (-112.0742432 33.4571243),3321.5,35751.9,13
,237,109825433.0,,yes,,,"POLYGON ((-112.0719325 33.4556563, -112.0719347 33.4557715, -112.0721345 33.4557688, -112.0721323 33.4556536, -112.0719325 33.4556563))",POINT (-112.0720335 33.4557126),238.1,2563.3,13
,238,109825434.0,,yes,,,"POLYGON ((-112.0716954 33.4556504, -112.0716955 33.4559323, -112.0718685 33.4559323, -112.0718685 33.4556504, -112.0716954 33.4556504))",POINT (-112.071782 33.4557913),503.9,5424.3,13
,239,109825436.0,,retail,,,"POLYGON ((-112.0732632 33.4582065, -112.0732605 33.4583832, -112.0732602 33.4583934, -112.0736947 33.4584002, -112.0737004 33.4582087, -112.0732632 33.4582065))",POINT (-112.0734805 33.4583021),850.9,9158.8,13
,240,109825441.0,,parking,,,"POLYGON ((-112.0727567 33.458827, -112.0727599 33.4595031, -112.0727604 33.4596119, -112.073161 33.4596181, -112.0731621 33.4594905, -112.073163 33.4592928, -112.0731623 33.4591423, -112.0731608 33.4588256, -112.0727567 33.458827))",POINT (-112.0729606 33.4592202),3278.9,35293.8,8
skyline lofts,241,109825442.0,,apartments,,,"POLYGON ((-112.068599 33.4551621, -112.068717 33.4553859, -112.0687438 33.4553769, -112.0687599 33.4554172, -112.0689262 33.4553948, -112.0689128 33.4553143, -112.0688886 33.455312, -112.0688886 33.4552874, -112.0690308 33.4552874, -112.0690318 33.4552632, -112.068886 33.4552605, -112.0688001 33.4550994, -112.068717 33.4551218, -112.0686934 33.4550766, -112.068663 33.4550958, -112.0686848 33.4551352, -112.068599 33.4551621))",POINT (-112.0687789 33.4552595),692.7,7456.4,13
,242,109825445.0,,yes,,,"POLYGON ((-112.0730312 33.4556767, -112.0730275 33.4559485, -112.0731653 33.4559475, -112.07316 33.4556745, -112.0730312 33.4556767))",POINT (-112.0730961 33.4558133),374.5,4031.1,13
,243,109825448.0,,yes,,,"POLYGON ((-112.072139 33.4557929, -112.0721394 33.4556736, -112.0723857 33.455674, -112.0723855 33.4557493, -112.0723571 33.4557492, -112.0723569 33.4557933, -112.072139 33.4557929))",POINT (-112.0722575 33.4557318),289.7,3118.0,13
,244,109825452.0,,yes,,,"POLYGON ((-112.0713774 33.4588165, -112.0714011 33.4588167, -112.0714 33.4588849, -112.0717245 33.4588887, -112.0717264 33.4587804, -112.071378 33.4587764, -112.0713774 33.4588165))",POINT (-112.0715586 33.4588317),372.0,4004.2,8
,245,109825453.0,,yes,,,"POLYGON ((-112.0719352 33.4557974, -112.0719337 33.4559733, -112.0719461 33.4559734, -112.0719456 33.4560252, -112.0721068 33.4560262, -112.0721065 33.4560667, -112.0723782 33.4560683, -112.0723805 33.4558, -112.0719352 33.4557974))",POINT (-112.0721666 33.4559253),1152.4,12403.9,13
,246,109825455.0,,yes,,,"POLYGON ((-112.0706717 33.4577463, -112.0706672 33.458073, -112.0710869 33.458077, -112.0710917 33.4577216, -112.0707186 33.4577181, -112.0707182 33.4577468, -112.0706717 33.4577463))",POINT (-112.0708811 33.4578988),1521.4,16376.4,13
,247,109825456.0,,yes,,,"POLYGON ((-112.0708307 33.4584495, -112.070831 33.4585249, -112.0708766 33.4585247, -112.0708768 33.45857, -112.0710495 33.4585694, -112.0710494 33.4585471, -112.0710729 33.4585471, -112.0710717 33.4582862, -112.0708451 33.4582869, -112.0708457 33.4584072, -112.0708812 33.4584071, -112.0708814 33.4584493, -112.0708307 33.4584495))",POINT (-112.0709604 33.4584255),637.0,6857.0,13
,248,109825458.0,,yes,,,"POLYGON ((-112.072712 33.4559408, -112.072712 33.4560796, -112.073168 33.456084, -112.0731627 33.4560258, -112.0730822 33.4560236, -112.0730795 33.4559498, -112.0730275 33.4559485, -112.072712 33.4559408))",POINT (-112.0729157 33.456017),567.2,6105.1,13
skyline lofts,249,109825459.0,,apartments,,,"POLYGON ((-112.0692129 33.4546451, -112.0693339 33.4546496, -112.0693312 33.4546228, -112.0697066 33.4546317, -112.0697093 33.4547145, -112.0697388 33.4547235, -112.0697254 33.4547884, -112.0698192 33.4547906, -112.0698139 33.4552673, -112.0697522 33.4552605, -112.0697522 33.4552919, -112.0697763 33.4552896, -112.069771 33.4553456, -112.0697146 33.4553456, -112.0697093 33.4553791, -112.0697334 33.4553814, -112.0697254 33.4554329, -112.0693392 33.4554373, -112.0693366 33.4554194, -112.0692025 33.4554172, -112.0691971 33.4552762, -112.0691416 33.4552799, -112.0690308 33.4552874, -112.0690318 33.4552632, -112.0690335 33.4552225, -112.069063 33.4552113, -112.0690549 33.4548555, -112.0690308 33.4548555, -112.0690335 33.4547928, -112.0691045 33.4547963, -112.0691292 33.4547983, -112.0692159 33.4548018, -112.0692129 33.4546451))",POINT (-112.0694461 33.4550355),5501.8,59220.6,13
,250,109827347.0,,yes,,,"POLYGON ((-112.0872724 33.4484674, -112.0872751 33.4485334, -112.0873006 33.4485301, -112.0873046 33.448605, -112.0873717 33.4486017, -112.0873717 33.4485726, -112.0873771 33.4485614, -112.0874253 33.4485647, -112.0874257 33.4485371, -112.0874723 33.4485379, -112.0874696 33.4485021, -112.0874294 33.4485043, -112.087432 33.4484943, -112.0873972 33.4484943, -112.0873972 33.4484383, -112.0873891 33.4484383, -112.0873931 33.4484092, -112.0873771 33.4484114, -112.0873757 33.448398, -112.0873435 33.448398, -112.0873328 33.4483801, -112.08731 33.4483656, -112.0872792 33.4483723, -112.0872684 33.4483857, -112.0872694 33.4484023, -112.0872698 33.4484092, -112.0872523 33.4484193, -112.0872523 33.448464, -112.0872724 33.4484674))",POINT (-112.0873429 33.4484873),292.2,3144.8,22
,251,109827656.0,,yes,,,"POLYGON ((-112.0732569 33.4577594, -112.0732569 33.458028, -112.0737079 33.4580303, -112.0737059 33.4578029, -112.0737017 33.4577839, -112.0736918 33.4577685, -112.0736693 33.4577549, -112.0736558 33.457754, -112.073637 33.4577555, -112.0736242 33.4577594, -112.0736113 33.4577707, -112.0736017 33.4577867, -112.0736024 33.4577984, -112.0734742 33.4577985, -112.0734754 33.4577732, -112.0734756 33.4577517, -112.073257 33.4577513, -112.0732569 33.4577594))",POINT (-112.0734774 33.4578976),1210.6,13031.2,13
,252,109827658.0,,parking,,,"POLYGON ((-112.0732108 33.4561326, -112.0732135 33.4564935, -112.0736695 33.456489, -112.073656 33.4560538, -112.0732877 33.4560589, -112.0732904 33.4561321, -112.0732108 33.4561326))",POINT (-112.0734431 33.4562803),1957.5,21070.1,13
,253,109827659.0,,yes,,,"POLYGON ((-112.0736594 33.4589846, -112.073663 33.458816, -112.0732533 33.45881, -112.0732494 33.4589926, -112.0732923 33.4589932, -112.0733099 33.4590106, -112.0733414 33.4590195, -112.0733403 33.4590327, -112.0733694 33.4590412, -112.0733689 33.459059, -112.0733826 33.4590592, -112.0733829 33.4590482, -112.0733898 33.4590483, -112.0733895 33.4590622, -112.0734341 33.459069, -112.0735383 33.4590713, -112.0735389 33.4590387, -112.0735782 33.4590393, -112.0735789 33.4590104, -112.0736274 33.4590111, -112.073628 33.4589842, -112.0736594 33.4589846))",POINT (-112.0734557 33.458926),937.1,10086.7,8
,254,109827660.0,,parking,,,"POLYGON ((-112.0723821 33.4564937, -112.0723865 33.456076, -112.0719128 33.4560726, -112.0719142 33.4559462, -112.0718874 33.4559459, -112.0716738 33.4559444, -112.0716767 33.4556611, -112.0714781 33.4556632, -112.071393 33.4556626, -112.071391 33.4558536, -112.0713845 33.4564866, -112.0718929 33.4564901, -112.0723821 33.4564937))",POINT (-112.0718081 33.4561812),5794.9,62375.9,13
,255,109827661.0,,parking,,,"POLYGON ((-112.072724 33.4577413, -112.0727384 33.458134, -112.0731837 33.4581226, -112.0731692 33.4577299, -112.072724 33.4577413))",POINT (-112.0729538 33.457932),1800.5,19380.2,13
Roosevelt community church,256,109827663.0,,place_of_worship,,,"POLYGON ((-112.07275 33.4581595, -112.0727454 33.4583609, -112.0728393 33.4583609, -112.072842 33.4583945, -112.0728044 33.4584236, -112.0729278 33.458531, -112.07296 33.4585086, -112.0729439 33.4584862, -112.07296 33.4584683, -112.0730619 33.4584728, -112.0730673 33.4585332, -112.0731585 33.4585377, -112.0731746 33.4582088, -112.0731102 33.4581931, -112.073078 33.4582244, -112.0730297 33.4582222, -112.0730351 33.4581953, -112.0730914 33.4581909, -112.0730861 33.4581573, -112.07275 33.4581595))",POINT (-112.072971 33.4583256),1304.8,14044.3,13
,257,109829293.0,,yes,,,"POLYGON ((-112.0785022 33.4604034, -112.0785022 33.4605352, -112.0785648 33.4605352, -112.0786094 33.4605352, -112.0786094 33.4604022, -112.0785986 33.4604022, -112.0785986 33.4603754, -112.0785069 33.4603754, -112.0785069 33.4604034, -112.0785022 33.4604034))",POINT (-112.0785554 33.460457),172.4,1856.2,8
,258,109829294.0,,yes,,,"POLYGON ((-112.0695926 33.4629045, -112.0695886 33.4633912, -112.069889 33.4633957, -112.0698863 33.4631529, -112.070176 33.4631518, -112.0701733 33.4630567, -112.0701934 33.4630555, -112.0702028 33.4630466, -112.0701988 33.4630332, -112.0701907 33.4630264, -112.0701706 33.4630253, -112.0701706 33.4629045, -112.0695926 33.4629045))",POINT (-112.0698356 33.4631099),2232.1,24026.2,8
,259,109829296.0,,parking,,,"POLYGON ((-112.0783218 33.460791, -112.0783326 33.4608559, -112.0783299 33.4609779, -112.0783366 33.4610607, -112.0783621 33.4611021, -112.0783983 33.4611401, -112.0784412 33.4611513, -112.0784989 33.4611614, -112.0785538 33.4611547, -112.0786222 33.4611245, -112.0786504 33.4610831, -112.0786745 33.4610428, -112.0787134 33.4609991, -112.0787832 33.4609343, -112.078987 33.4608201, -112.0789696 33.4608022, -112.0789347 33.4608168, -112.0789186 33.4607978, -112.0788167 33.4608403, -112.0787899 33.4607978, -112.0783218 33.460791))",POINT (-112.0785626 33.4609442),1535.5,16527.5,8
,260,109829299.0,,yes,,,"POLYGON ((-112.0773293 33.4587346, -112.0773299 33.458855, -112.0775023 33.4588544, -112.077503 33.4590138, -112.0774068 33.4590141, -112.0774077 33.4591995, -112.077671 33.4591986, -112.0776687 33.4587334, -112.0773293 33.4587346))",POINT (-112.0775358 33.4589572),1198.2,12897.6,8
,261,109829301.0,,yes,,,"POLYGON ((-112.0781481 33.4602915, -112.0781481 33.4602205, -112.0779906 33.4602204, -112.0779906 33.4602915, -112.0781481 33.4602915))",POINT (-112.0780693 33.460256),115.3,1241.5,8
,262,109829302.0,,yes,,,"POLYGON ((-112.0696508 33.4615189, -112.0696519 33.4616176, -112.0696912 33.4616173, -112.0696915 33.461645, -112.0699176 33.4616432, -112.0699178 33.4616609, -112.0699642 33.4616605, -112.069964 33.4616434, -112.0700577 33.4616427, -112.0700579 33.4616648, -112.0701324 33.4616642, -112.0702014 33.4616637, -112.0701993 33.461481, -112.0700642 33.4614821, -112.0700644 33.461499, -112.0699621 33.4614999, -112.0699619 33.4614777, -112.0699159 33.461478, -112.0699161 33.4614931, -112.069695 33.4614948, -112.0696952 33.4615185, -112.0696508 33.4615189))",POINT (-112.0699427 33.4615708),884.7,9523.3,8
,263,109829306.0,,yes,,,"POLYGON ((-112.0787441 33.4603659, -112.0787441 33.4604274, -112.0787441 33.4605358, -112.0788057 33.4605358, -112.0788784 33.4605358, -112.0788785 33.4604261, -112.0788177 33.4604261, -112.0788177 33.4603659, -112.0787441 33.4603659))",POINT (-112.0788043 33.4604613),197.4,2124.6,8
,264,109829308.0,,parking,,,"POLYGON ((-112.0771388 33.4515, -112.0771334 33.451867, -112.0776216 33.451867, -112.0776162 33.4514955, -112.0771388 33.4515))",POINT (-112.077378 33.4516831),1834.6,19747.0,18
,265,109829309.0,,yes,,,"POLYGON ((-112.0784436 33.4549013, -112.0784427 33.4550376, -112.0784304 33.4550376, -112.0784289 33.455261, -112.078415 33.455261, -112.0784145 33.4553302, -112.0784404 33.4553303, -112.0784388 33.4555687, -112.0784775 33.4555689, -112.0784773 33.4555932, -112.0785109 33.4555933, -112.0785109 33.455599, -112.0785379 33.4555992, -112.0785381 33.45557, -112.0786252 33.4555704, -112.0786253 33.4555583, -112.0786428 33.4555584, -112.0786444 33.4553325, -112.0787403 33.455333, -112.0787421 33.4550735, -112.0787772 33.4550737, -112.0787782 33.4549261, -112.0787344 33.4549259, -112.0787346 33.4549027, -112.0784436 33.4549013))",POINT (-112.0785789 33.4552057),1941.0,20893.1,13
,266,109829312.0,,parking,,,"POLYGON ((-112.0797503 33.4516191, -112.0797577 33.4518136, -112.0799356 33.4518113, -112.0799279 33.4516771, -112.0800719 33.4516707, -112.0800661 33.4515187, -112.0799229 33.4515179, -112.0799163 33.4515969, -112.0797932 33.4515964, -112.0797503 33.4516191))",POINT (-112.0799002 33.4516645),619.8,6671.3,18
,267,109829313.0,,parking,,,"POLYGON ((-112.0766184 33.4525384, -112.0766292 33.4529009, -112.0770744 33.4529054, -112.0770744 33.4525473, -112.0766184 33.4525384))",POINT (-112.0768486 33.4527223),1673.5,18013.7,18
,268,109829315.0,,parking,,,"POLYGON ((-112.0766179 33.4531432, -112.0767264 33.4531421, -112.0767282 33.4532653, -112.0766164 33.4532664, -112.0766182 33.4533847, -112.0770852 33.4533799, -112.0770789 33.4529467, -112.0766151 33.4529514, -112.0766179 33.4531432))",POINT (-112.0768623 33.4531632),1939.4,20875.6,18
,269,109829317.0,,yes,,,"POLYGON ((-112.069635 33.4616812, -112.0696346 33.4617268, -112.06959 33.4617265, -112.0695889 33.4618469, -112.0696315 33.4618472, -112.0696311 33.4618902, -112.0701105 33.4618933, -112.0701124 33.4616843, -112.069635 33.4616812))",POINT (-112.0698592 33.4617873),1083.8,11666.0,8
Great Arizona Puppet Theater,270,109829318.0,,yes,,,"POLYGON ((-112.0779131 33.4610778, -112.0779141 33.4611849, -112.0779271 33.4611848, -112.0781528 33.4611834, -112.0781527 33.4611713, -112.0781887 33.4611711, -112.0781881 33.4611152, -112.0781598 33.4611154, -112.0781583 33.4609624, -112.0781981 33.4609622, -112.078197 33.4608494, -112.0781363 33.4608498, -112.0781362 33.4608371, -112.0780588 33.4608382, -112.077941 33.4608384, -112.0779412 33.460855, -112.0779298 33.4608551, -112.0779135 33.4608552, -112.0779141 33.4609207, -112.0779329 33.4609205, -112.0779918 33.4609202, -112.0779932 33.4610773, -112.0779131 33.4610778))",POINT (-112.0780606 33.4610114),800.7,8619.1,8
