name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,10,30694735.0,,office,,,"POLYGON ((-112.0956384 33.4494005, -112.0951391 33.4494005, -112.0951391 33.4495518, -112.0954689 33.4495518, -112.0954689 33.4496839, -112.0954303 33.4496839, -112.0954303 33.4497145, -112.0954689 33.4497145, -112.0954689 33.4497647, -112.0956438 33.4497647, -112.0956438 33.4496682, -112.0956384 33.4496682, -112.0956384 33.4494005))",POINT (-112.0954431 33.4495376),1167.5,12567.4,17
Arizona State Courts Building,11,30694787.0,,yes,,,"POLYGON ((-112.0918808 33.4479608, -112.0917631 33.4479616, -112.0917631 33.4479559, -112.0916564 33.4479566, -112.0916563 33.4479492, -112.0916081 33.4479495, -112.0916052 33.4476405, -112.0918791 33.4476387, -112.0918787 33.447595, -112.0918523 33.4475677, -112.092144 33.4474035, -112.0923961 33.4472616, -112.0924095 33.4472812, -112.0924846 33.4472419, -112.0924853 33.4472169, -112.0932081 33.4472135, -112.0932095 33.4472242, -112.0934403 33.4472251, -112.0932191 33.4474802, -112.0931332 33.4474802, -112.0931332 33.4474946, -112.0925749 33.4474958, -112.0925246 33.4475268, -112.0925299 33.4475327, -112.0924647 33.4475729, -112.0924682 33.4475768, -112.0924054 33.4476155, -112.0923233 33.4476661, -112.0923148 33.4476565, -112.0922531 33.4476946, -112.0922428 33.4476829, -112.0921902 33.4477153, -112.0921965 33.4479817, -112.0920686 33.4479798, -112.0919699 33.4479727, -112.0918808 33.4479608))",POINT (-112.0923957 33.4475396),6016.2,64757.6,22
,12,30694862.0,,parking,,,"POLYGON ((-112.0932782 33.4496905, -112.0932235 33.4496907, -112.0932238 33.4497413, -112.0924333 33.4497447, -112.0924312 33.4494024, -112.0924544 33.4494023, -112.0925034 33.4494021, -112.0932235 33.4493989, -112.0932238 33.4494428, -112.0932767 33.4494426, -112.0932771 33.4495041, -112.0932779 33.4496353, -112.0932782 33.4496905))",POINT (-112.0928478 33.4495715),2928.7,31524.5,17
Joint Legislative Budget Committee,13,30694897.0,,public,,,"POLYGON ((-112.09687 33.4495528, -112.0967882 33.4495528, -112.0967882 33.4497318, -112.0965224 33.4497318, -112.0965224 33.449418, -112.0967017 33.449418, -112.0967017 33.4494235, -112.0968036 33.4494235, -112.0968036 33.4494017, -112.09687 33.4494017, -112.09687 33.4495528))",POINT (-112.096677 33.4495635),978.3,10529.9,17
Arizona Department of Health Services,14,30694907.0,,public,,,"POLYGON ((-112.0978007 33.4497094, -112.0972028 33.4497117, -112.0972012 33.4494219, -112.0977991 33.4494196, -112.0978007 33.4497094))",POINT (-112.0975009 33.4495656),1786.0,19224.0,17
,15,30694924.0,,office,,,"POLYGON ((-112.0953656 33.4504776, -112.0950359 33.4504776, -112.0950359 33.4504219, -112.0949568 33.4504219, -112.0949568 33.4504784, -112.0948296 33.4504784, -112.0948296 33.4504816, -112.0946337 33.4504816, -112.0946337 33.4505371, -112.0945943 33.4505371, -112.0945943 33.4506892, -112.0946372 33.4506892, -112.0946372 33.4507204, -112.0953647 33.4507204, -112.0953647 33.4506426, -112.0954066 33.4506426, -112.0954066 33.4505494, -112.0953656 33.4505494, -112.0953656 33.4504776))",POINT (-112.0949964 33.4505964),1970.6,21211.4,17
State of Arizona Office of the Attorney General,16,30694944.0,,public,,,"POLYGON ((-112.0912783 33.4479605, -112.0906945 33.4479605, -112.0906945 33.4477526, -112.0910378 33.4477526, -112.0910378 33.4477024, -112.0910035 33.4477024, -112.0910035 33.4476308, -112.0910463 33.4476308, -112.0910463 33.4475646, -112.090952 33.4475646, -112.090952 33.4472584, -112.0910206 33.4472584, -112.0910206 33.4472298, -112.0912695 33.4472298, -112.0912783 33.4479605))",POINT (-112.0910633 33.4476473),2803.3,30174.2,22
State of Arizona office building,17,30694974.0,,public,,,"POLYGON ((-112.0911672 33.4486794, -112.0909279 33.4486822, -112.0909284 33.448712, -112.0908705 33.4487127, -112.09087 33.4486829, -112.0906342 33.4486857, -112.0906294 33.4484096, -112.0908666 33.4484068, -112.090866 33.4483729, -112.0909289 33.4483722, -112.0909294 33.448404, -112.0911624 33.4484012, -112.0911672 33.4486794))",POINT (-112.0908988 33.4485436),1560.4,16795.8,22
Arizona Department of Education,18,30695020.0,,public,,,"POLYGON ((-112.0930634 33.4468502, -112.0924626 33.4468502, -112.092454 33.4465995, -112.0930548 33.4465924, -112.0930634 33.4468502))",POINT (-112.0927601 33.4467231),1572.4,16925.6,22
Arizona Department of Economic Security,19,30703943.0,,yes,,,"POLYGON ((-112.0979477 33.4460846, -112.0970806 33.4460883, -112.0970822 33.4463398, -112.0972057 33.4463393, -112.0972058 33.4463652, -112.0971873 33.4463652, -112.0971873 33.4463693, -112.0971049 33.4463697, -112.0971052 33.4464097, -112.0970922 33.4464097, -112.097093 33.4465334, -112.0971059 33.4465333, -112.0971061 33.4465522, -112.097207 33.4465518, -112.0972071 33.4465662, -112.0970836 33.4465667, -112.0970852 33.4468169, -112.0979606 33.4468131, -112.0979603 33.4467711, -112.0979562 33.4467711, -112.0979549 33.4465617, -112.0978245 33.4465622, -112.0978242 33.4465127, -112.0979299 33.4465122, -112.097929 33.4463701, -112.0978233 33.4463706, -112.0978231 33.4463371, -112.0979493 33.4463365, -112.0979477 33.4460846))",POINT (-112.097514 33.4464513),6301.9,67833.1,22
